logicalId,remark,nameAlias,citizenship,address,regulation.regulationType,regulation.organisationType,regulation.numberTitle,regulation.publicationUrl,subjectType.code,subjectType.classificationCode,birthdate.logicalId,birthdate.regulationLanguage,birthdate.calendarType,birthdate.year,birthdate.place,birthdate.countryIso2Code,birthdate.countryDescription,birthdate.remark,nameAlias.logicalId,nameAlias.regulationLanguage,nameAlias.wholeName,nameAlias.function,nameAlias.title,nameAlias.strong,birthdate.circa,birthdate.city,birthdate,citizenship.logicalId,citizenship.regulationLanguage,citizenship.countryIso2Code,citizenship.countryDescription,nameAlias.firstName,nameAlias.lastName,birthdate.region,birthdate.yearRangeFrom,birthdate.yearRangeTo,nameAlias.middleName,address.logicalId,address.regulationLanguage,address.countryIso2Code,address.countryDescription,nameAlias.gender,address.city,address.street,birthdate.birthdate,birthdate.dayOfMonth,birthdate.monthOfYear,address.remark,address.region,address.place,citizenship.diplomatic,citizenship.knownExpired,citizenship.knownFalse,citizenship.reportedLost,citizenship.revokedByIssuer,citizenship.number,citizenship.identificationTypeCode,citizenship.identificationTypeDescription,citizenship.remark,nameAlias.remark,address.zipCode,citizenship.issueDate,regulation,unitedNationId,designationDetails,citizenship.validTo,citizenship.region,address.poBox
505,Review pursuant to Security Council Resolution 1822 (2008) was concluded on 29 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/ 1446037,"[{'logicalId': '16020', 'regulationLanguage': 'en', 'wholeName': 'Abdul Hai Hazem Abdul Qader', 'function': 'First Secretary, Taliban Consulate General, Quetta, Pakistan.', 'title': '(a) Maulavi, (b) Mullah', 'strong': '1'}, {'logicalId': '111265', 'regulationLanguage': 'en', 'wholeName': 'Abdul Hai Hazem', 'strong': '1'}]","[{'logicalId': '101637', 'regulationLanguage': 'en', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN'}, {'logicalId': '779', 'regulationLanguage': 'en', 'diplomatic': '0', 'knownExpired': '0', 'knownFalse': '0', 'reportedLost': '0', 'revokedByIssuer': '0', 'number': 'D 0001203', 'identificationTypeCode': 'passport', 'identificationTypeDescription': 'National passport', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN', 'remark': '(afghan passport)'}]","[{'logicalId': '2271', 'regulationLanguage': 'en', 'city': 'Kabul City, Kabul Province', 'street': 'Puli Charkhi Area, District Number 9', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN'}, {'logicalId': '111266', 'regulationLanguage': 'en', 'city': 'Iltifat village, Shakardara District,', 'region': 'Kabul Province', 'place': 'Iltifat village', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN', 'remark': 'Iltifat village, Shakardara District, Kabul Province, Afghanistan'}]",council decision,council,"Council Decision concerning restrictive measures directed against certain individuals, groups, undertakings and entities in view of the situation in Afghanistan",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02011D0486-20220205,person,P,813,en,GREGORIAN,1971,Pashawal Yargatoo village,AF,AFGHANISTAN,"Pashawal Yargatoo village, Andar District, Ghazni Province, Afghanistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Believed to be in Afghanistan/Pakistan border area. Review pursuant to Security Council Resolution 1822 (2008) was concluded on 29 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1427565,,"[{'logicalId': '754', 'regulationLanguage': 'en', 'countryIso2Code': 'PK', 'countryDescription': 'PAKISTAN'}, {'logicalId': '101660', 'regulationLanguage': 'en', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN'}]",,council decision,council,"Council Decision concerning restrictive measures directed against certain individuals, groups, undertakings and entities in view of the situation in Afghanistan",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02011D0486-20220205,person,P,101659,en,GREGORIAN,1958,,AF,AFGHANISTAN,,1212,en,"Agha, Abdul Rahman",Chief Justice of Military Court under the Taliban regime.,Maulavi,1,1,"Arghandab district, Kandahar province",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Review pursuant to Security Council Resolution 1822 (2008) was concluded on 23 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1427409,"[{'logicalId': '1216', 'regulationLanguage': 'en', 'firstName': 'Sayed', 'middleName': 'Mohammad Azim', 'lastName': 'Agha', 'wholeName': 'Sayed Mohammad Azim Agha', 'function': 'Director of the Passport and Visa Department in the Ministry of Interior under the Taliban regime', 'title': 'Maulavi', 'strong': '1'}, {'logicalId': '14040', 'regulationLanguage': 'en', 'wholeName': 'Sayed Mohammad Azim Agha', 'strong': '1'}, {'logicalId': '101664', 'regulationLanguage': 'en', 'wholeName': 'Agha Saheb', 'strong': '1'}]",,,council decision,council,"Council Decision concerning restrictive measures directed against certain individuals, groups, undertakings and entities in view of the situation in Afghanistan",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02011D0486-20220205,person,P,,,,,,,,,,,,,,,,,"[{'logicalId': '911', 'regulationLanguage': 'en', 'circa': '1', 'calendarType': 'GREGORIAN', 'city': 'Panjwai District, Kandahar province', 'year': '1966', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN'}, {'logicalId': '1799', 'regulationLanguage': 'en', 'circa': '1', 'calendarType': 'GREGORIAN', 'city': 'Panjwai District, Kandahar province', 'year': '1969', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN'}]",101663,en,AF,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Believed to be in Afghanistan/Pakistan border area. Belongs to Sadat ethnic group. Review pursuant to Security Council Resolution 1822 (2008) was concluded on 27 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4652713,"[{'logicalId': '5911', 'regulationLanguage': 'en', 'firstName': 'Sayyed Ghiassouddine', 'lastName': 'Agha', 'wholeName': 'Sayyed Ghiassouddine Agha', 'function': '(a) Minister of Haj and Religious Affairs under the Taliban regime, (b) Education Minister under the Taliban regime.', 'title': 'Maulavi', 'strong': '1'}, {'logicalId': '101670', 'regulationLanguage': 'en', 'wholeName': 'Sayed Ghias', 'strong': '1'}, {'logicalId': '101671', 'regulationLanguage': 'en', 'wholeName': 'Sayed Ghiasuddin Sayed Ghousuddin', 'strong': '1'}, {'logicalId': '101672', 'regulationLanguage': 'en', 'wholeName': 'Sayyed Ghayasudin', 'strong': '1'}]",,,council decision,council,"Council Decision concerning restrictive measures directed against certain individuals, groups, undertakings and entities in view of the situation in Afghanistan",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02011D0486-20220205,person,P,111127,en,GREGORIAN,1961,,AF,AFGHANISTAN,"Kohistan District, Faryab Province",,,,,,,1,"Kohistan District, Faryab Province",,101667,en,AF,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,"elieved to be in Afghanistan/Pakistan border area. Belongs to Kakar tribe.
Review pursuant to Security Council Resolution 1822 (2008) was concluded on 23 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/ un/1427516",,,,council decision,council,"Council Decision concerning restrictive measures directed against certain individuals, groups, undertakings and entities in view of the situation in Afghanistan",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02011D0486-20220205,person,P,,,,,,,,,6049,en,Mohammad Ahmadi,"(a) President of Central Bank (Da Afghanistan Bank) under the Taliban regime, (b) Minister of Finance under the Taliban regime.","(a) Mullah, (b) Haji",1,,,"[{'logicalId': '1812', 'regulationLanguage': 'en', 'circa': '1', 'calendarType': 'GREGORIAN', 'city': 'Pashmul village, Panjwai District, Kandahar Province', 'year': '1963', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN'}, {'logicalId': '101675', 'regulationLanguage': 'en', 'circa': '1', 'calendarType': 'GREGORIAN', 'city': 'Daman district, Kandahar province', 'year': '1963', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN'}]",101676,en,AF,AFGHANISTAN,Mohammad,Ahmadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Believed to be in Afghanistan/ Pakistan border area. Review pursuant to Security Council Resolution 1822 (2008) was concluded on 21 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/ 4678353,"[{'logicalId': '16052', 'regulationLanguage': 'en', 'wholeName': 'Haji Ahmad Jan', 'strong': '1'}, {'logicalId': '16053', 'regulationLanguage': 'en', 'wholeName': 'Ahmed Jan Akhund', 'strong': '1'}, {'logicalId': '111128', 'regulationLanguage': 'en', 'wholeName': 'Ahmed Jan Akhundzada Wazir', 'function': 'Minister of Water and Electricity under the Taliban regime', 'title': 'Maulavi', 'strong': '1'}]",,,council decision,council,"Council Decision concerning restrictive measures directed against certain individuals, groups, undertakings and entities in view of the situation in Afghanistan",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02011D0486-20220205,person,P,,,,,,,,,,,,,,,,,"[{'logicalId': '1865', 'regulationLanguage': 'en', 'circa': '1', 'calendarType': 'GREGORIAN', 'city': 'Tirin Kot District, Uruzgan Province', 'yearRangeFrom': '1953', 'yearRangeTo': '1958', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN', 'remark': 'between 1953 and 1958'}, {'logicalId': '101683', 'regulationLanguage': 'en', 'circa': '1', 'calendarType': 'GREGORIAN', 'city': 'Kandahar province', 'yearRangeFrom': '1953', 'yearRangeTo': '1958', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN'}]",101684,en,AF,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Belongs to Nurzai tribe. Review pursuant to Security Council Resolution 1822 (2008) was concluded on 27 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/ notice/search/un/1427423,,,,council decision,council,"Council Decision concerning restrictive measures directed against certain individuals, groups, undertakings and entities in view of the situation in Afghanistan",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02011D0486-20220205,person,P,975,en,GREGORIAN,1958,,AF,AFGHANISTAN,,111131,en,Mohammad Essa Akhund,"Minister of Water, Sanitation and Electricity under the Taliban regime.","(a) Alhaj, (b) Mullah",1,1,"Mial area, Spin Boldak District",,101687,en,AF,AFGHANISTAN,Mohammad Essa,Akhund,Kandahar Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Belongs to Popalzai tribe. Review pursuant to Security Council Resolution 1822 (2008) was concluded on 23 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/ un/1427204,,,,council decision,council,"Council Decision concerning restrictive measures directed against certain individuals, groups, undertakings and entities in view of the situation in Afghanistan",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02011D0486-20220205,person,P,973,en,GREGORIAN,1953,,AF,AFGHANISTAN,,1259,en,Attiqullah Akhund,Deputy Minister of Agriculture under the Taliban regime.,Maulavi,1,1,"Shah Wali Kot district, Kandahar Province",,101691,en,AF,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,One foot lost in landmine explosion. Believed to be in Afghanistan/Pakistan border area. Belongs to Nurzai tribe. Review pursuant to Security Council Resolution 1822 (2008) was concluded on 27 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/ 1427390,"[{'logicalId': '6051', 'regulationLanguage': 'en', 'wholeName': 'Akhund', 'strong': '1'}, {'logicalId': '16054', 'regulationLanguage': 'en', 'wholeName': 'Shahidwror', 'strong': '1'}, {'logicalId': '111141', 'regulationLanguage': 'en', 'wholeName': 'Allahdad', 'strong': '1'}, {'logicalId': '111142', 'regulationLanguage': 'en', 'wholeName': 'Allah Dad Matin', 'function': '(a) Minister of Urban Development under the Taliban regime, (b) President of Central Bank (Da Afghanistan Bank) under the Taliban regime, (c) Head of Ariana Afghan Airlines under the Taliban regime.', 'title': 'Mullah', 'strong': '1'}]",,,council decision,council,"Council Decision concerning restrictive measures directed against certain individuals, groups, undertakings and entities in view of the situation in Afghanistan",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02011D0486-20220205,person,P,,,,,,,,,,,,,,,,,"[{'logicalId': '979', 'regulationLanguage': 'en', 'circa': '1', 'calendarType': 'GREGORIAN', 'city': 'Kadani village, Spin Boldak district, Kandahar province', 'year': '1953', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN'}, {'logicalId': '1825', 'regulationLanguage': 'en', 'circa': '1', 'calendarType': 'GREGORIAN', 'city': 'Kadani village, Spin Boldak district, Kandahar province', 'year': '1960', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN'}]",101694,en,AF,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,"Confirmed deceased in March 2010 and buried in Karachi, Pakistan. Linked by marriage to Saleh Mohammad Kakar Akhtar Muhammad. Belonged to Alokozai tribe. Review pursuant to Security Council Resolution 1822 (2008) was concluded on 21 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/ notice/search/un/4678686","[{'logicalId': '1262', 'regulationLanguage': 'en', 'wholeName': 'Ubaidullah Akhund Yar Mohammed Akhund', 'function': 'Minister of Defence under the Taliban regime', 'title': '(a) Mullah, (b) Hadji, (c) Maulavi.', 'strong': '1'}, {'logicalId': '5919', 'regulationLanguage': 'en', 'firstName': 'Obaidullah', 'lastName': 'Akhund', 'wholeName': 'Obaidullah Akhund', 'strong': '1'}, {'logicalId': '5920', 'regulationLanguage': 'en', 'firstName': 'Obaid Ullah', 'lastName': 'Akhund', 'wholeName': 'Obaid Ullah Akhund', 'strong': '1'}]",,,council decision,council,"Council Decision concerning restrictive measures directed against certain individuals, groups, undertakings and entities in view of the situation in Afghanistan",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02011D0486-20220205,person,P,,,,,,,,,,,,,,,,,"[{'logicalId': '925', 'regulationLanguage': 'en', 'circa': '1', 'calendarType': 'GREGORIAN', 'year': '1968', 'countryIso2Code': '00', 'countryDescription': 'UNKNOWN'}, {'logicalId': '1819', 'regulationLanguage': 'en', 'calendarType': 'GREGORIAN', 'year': '1969', 'countryIso2Code': '00', 'countryDescription': 'UNKNOWN'}, {'logicalId': '1901', 'regulationLanguage': 'en', 'calendarType': 'GREGORIAN', 'city': 'Nalgham area, Zheray District, Kandahar Province', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN'}, {'logicalId': '111340', 'regulationLanguage': 'en', 'calendarType': 'GREGORIAN', 'region': 'Kandahar Province', 'place': 'Arghandab District', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN'}, {'logicalId': '111341', 'regulationLanguage': 'en', 'calendarType': 'GREGORIAN', 'region': 'Kandahar Province', 'place': 'Sangisar village, Panjwai District', 'countryIso2Code': 'AF', 'countryDescription': 'AFGHANISTAN'}]",101698,en,AF,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
